time_s,ch0_avg,n_samples
33,1926.50,50
939,1561.56,50
1845,1601.26,50
2751,1426.64,50
3658,1765.12,50
4564,1265.26,50
5470,1099.58,50
6376,1061.86,50
7283,1508.88,50
8189,2003.04,50
9095,2137.40,50
10002,2066.42,50
10908,2310.16,50
11814,2296.74,50
12721,2121.08,50
13627,2029.36,50
14533,2254.86,50
15439,2267.94,50
16346,2251.02,50
17252,2223.92,50
18158,2087.44,50
19065,2147.84,50
19971,1155.98,50
20877,1046.80,50
21784,1889.14,50
22690,1138.72,50
23596,535.22,50
24502,937.06,50
25409,1331.98,50
26315,1594.32,50
27221,502.14,50
28128,591.46,50
29034,1735.42,50
29940,1904.48,50
30847,676.94,50
31753,889.02,50
32659,1951.52,50
33566,2062.24,50
34472,2024.66,50
35378,2009.96,50
36284,1858.02,50
37191,1546.00,50
38097,1449.50,50
39003,1913.42,50
39910,1995.08,50
40816,1996.52,50
41723,1032.92,50
42630,1075.84,50
43536,1774.06,50
44442,1194.50,50
45349,901.26,50
46255,1358.74,50
47161,525.18,50
48068,499.24,50
48974,434.76,50
49880,390.02,50
50786,445.48,50
51693,452.68,50
52599,885.66,50
53505,944.24,50
